Name,Description,Director,Year,Runtime,Age Restriction
Napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",Ridley Scott,2023,2h 38m,R
The Hunger Games: The Ballad of Songbirds & Snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Francis Lawrence,2023,2h 37m,PG-13
Furiosa: A Mad Max Saga,The origin story of renegade warrior Furiosa before she teamed up with Mad Max in 'Fury Road',George Miller,,0h 0m,2024
Saltburn,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",Emerald Fennell,2023,2h 11m,R
Leo,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.,Robert Marianetti,2023,1h 42m,PG
Oppenheimer,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Christopher Nolan,2023,3h 0m,R
Wish,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,Chris Buck,2023,1h 35m,PG
The Killer,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",David Fincher,2023,1h 58m,R
May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",Todd Haynes,2023,1h 57m,R
The Holdovers,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a troubled student who has no place to go.,Alexander Payne,2023,2h 13m,R
Thanksgiving,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",Eli Roth,2023,1h 46m,R
Animal,"A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.",Sandeep Reddy Vanga,2023,0h 0m,"2023
3h 22m"
Godzilla Minus One,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Takashi Yamazaki,2023,2h 4m,PG-13
Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",Martin Scorsese,2023,3h 26m,R
A Haunting in Venice,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer.",Kenneth Branagh,2023,1h 43m,PG-13
Candy Cane Lane,"A man is determined to win the neighborhood's annual Christmas decorating contest. He makes a pact with an elf to help him win--and the elf casts a spell that brings the 12 days of Christmas to life, which brings unexpected chaos to town.",Reginald Hudlin,2023,1h 57m,PG
Family Switch,"When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal, and soccer tryout?",McG,2023,1h 46m,PG
Wonka,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",Paul King,2023,1h 56m,PG
Five Nights at Freddy's,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's.",Emma Tammi,2023,1h 49m,PG-13
Poor Things,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Yorgos Lanthimos,2023,2h 21m,R
The Marvels,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",Nia DaCosta,2023,1h 45m,PG-13
Silent Night,A grieving father enacts his long-awaited revenge against a ruthless gang on Christmas Eve.,John Woo,2023,1h 44m,R
